iter	Logloss
0	0.6842997424
1	0.6756742469
2	0.6672728685
3	0.6591468204
4	0.6511572047
5	0.6434188124
6	0.6358025707
7	0.6284119109
8	0.6212037077
9	0.6140977648
10	0.6071210289
11	0.6003880093
12	0.5938605948
13	0.5875002486
14	0.5812212645
15	0.5750022672
16	0.5690361123
17	0.5631945648
18	0.5575246185
19	0.5519888133
20	0.5465691292
21	0.5412721854
22	0.5360913204
23	0.5309932017
24	0.5261271966
25	0.5212477147
26	0.5164871652
27	0.5119626146
28	0.5074305892
29	0.5030695068
30	0.4988587482
31	0.4947641511
32	0.490778054
33	0.4868527007
34	0.4830505601
35	0.4792347276
36	0.4755941889
37	0.4720021924
38	0.4684343027
39	0.4650378063
40	0.461677368
41	0.4583546759
42	0.4552082286
43	0.4521261313
44	0.4491081446
45	0.4461208171
46	0.443206497
47	0.4403961894
48	0.4376866633
49	0.4349557199
50	0.4323506756
51	0.4297188227
52	0.4272739227
53	0.4247675079
54	0.42232973
55	0.4199825705
56	0.4177228677
57	0.4154913693
58	0.413332293
59	0.411235904
60	0.4090801001
61	0.4071071334
62	0.4051465121
63	0.4031805412
64	0.401280085
65	0.3993964394
66	0.3975504617
67	0.3957742976
68	0.3940034676
69	0.39226721
70	0.3905706335
71	0.3889261474
72	0.3873882442
73	0.385828996
74	0.3843277744
75	0.3828687268
76	0.381419789
77	0.3800046417
78	0.3785792198
79	0.3772201449
80	0.375880004
81	0.3745724545
82	0.3732737731
83	0.3720909939
84	0.370841347
85	0.369585951
86	0.3683925107
87	0.3672257526
88	0.366103092
89	0.3649874618
90	0.3638990263
91	0.3628765459
92	0.36184564
93	0.3609206037
94	0.3600027347
95	0.3590246246
96	0.3580619857
97	0.3570605904
98	0.356131992
99	0.3552437356
100	0.354400858
101	0.3535696972
102	0.3527356624
103	0.3519235746
104	0.3512087522
105	0.3503466227
106	0.349575487
107	0.3488341117
108	0.3481330573
109	0.3473656215
110	0.3466547289
111	0.3459379949
112	0.3452923293
113	0.3446545936
114	0.3439964701
115	0.3433443537
116	0.3426501697
117	0.341981514
118	0.3414179048
119	0.3408290295
120	0.3402968545
121	0.3397685201
122	0.339247717
123	0.3386896462
124	0.3381829101
125	0.3376723496
126	0.3371293436
127	0.3366072544
128	0.336086204
129	0.3355426268
130	0.3350634192
131	0.3346206154
132	0.334194166
133	0.3337535551
134	0.3332981673
135	0.3328626741
136	0.3324422205
137	0.3320016523
138	0.3315502485
139	0.3311819081
140	0.3308042212
141	0.3304087526
142	0.3300561506
143	0.3296682365
144	0.3292723901
145	0.328924207
146	0.3285764482
147	0.3282232621
148	0.3278443734
149	0.3275334545
150	0.3271793862
151	0.3268005188
152	0.3264681452
153	0.3261588537
154	0.325802065
155	0.3254726342
156	0.3251729466
157	0.3248938472
158	0.3245929515
159	0.3242926121
160	0.3239854473
161	0.3236501288
162	0.3233733983
163	0.3231062325
164	0.322842709
165	0.322568653
166	0.3222938879
167	0.3220474076
168	0.32183591
169	0.3215919669
170	0.3213537051
171	0.3211124062
172	0.32086801
173	0.320640845
174	0.320438774
175	0.3201865024
176	0.3199601973
177	0.3197269743
178	0.3195176113
179	0.3192858756
180	0.3191059202
181	0.3188407078
182	0.3186371931
183	0.3184151462
184	0.3182028176
185	0.3180234477
186	0.3178261177
187	0.3176263045
188	0.3174434965
189	0.3172362049
190	0.3170447996
191	0.3168483521
192	0.3166794122
193	0.3164620329
194	0.3162894733
195	0.3161350611
196	0.3159591573
197	0.3157877557
198	0.315570968
199	0.3154010969
200	0.3152293627
201	0.3150859582
202	0.3149562883
203	0.3147905455
204	0.3146424308
205	0.3144712826
206	0.3143082644
207	0.3141527124
208	0.3140149385
209	0.3138759485
210	0.3137569468
211	0.3135891407
212	0.3134320646
213	0.3132515206
214	0.3130958193
215	0.312957682
216	0.3128327817
217	0.3126863731
218	0.3125067127
219	0.3123367342
220	0.3122109622
221	0.3120672141
222	0.3119278424
223	0.311776416
224	0.3116335509
225	0.3114860813
226	0.3113718216
227	0.3112306458
228	0.3111062203
229	0.3109933145
230	0.3108399176
